model,dataset,display_name,geometry_variant,split,layer,point_type,include_in_main_depth_axis,point_index,n_rows,feature_dim,effective_rank,normalized_effective_rank,effective_rank_over_max_possible,spectral_entropy,pc1_fraction,numerical_rank,max_possible_rank,is_headline
chronos2,sg_carpark,SG Carpark,headline,test,Emb,block_depth,True,0,1416,768,1.0006743686280868,0.001302961417484488,0.001302961417484488,0.000674141343740047,0.9999377112495059,3,768.0,True
chronos2,sg_carpark,SG Carpark,headline,test,L1,block_depth,True,1,1416,768,6.10632392460297,0.007950942610160118,0.007950942610160118,1.809324943118965,0.5536548405035114,768,768.0,True
chronos2,sg_carpark,SG Carpark,headline,test,L2,block_depth,True,2,1416,768,8.887097375159216,0.01157174137390523,0.01157174137390523,2.184600491730092,0.46226572773591185,768,768.0,True
chronos2,sg_carpark,SG Carpark,headline,test,L3,block_depth,True,3,1416,768,14.097507918813529,0.01835613010262178,0.01835613010262178,2.6459980384166184,0.3678395917537091,768,768.0,True
chronos2,sg_carpark,SG Carpark,headline,test,L4,block_depth,True,4,1416,768,19.96373602740541,0.025994447952350796,0.025994447952350796,2.993917429089842,0.28966326874175435,768,768.0,True
chronos2,sg_carpark,SG Carpark,headline,test,L5,block_depth,True,5,1416,768,21.801984448107138,0.028388000583472836,0.028388000583472836,3.082000995381774,0.28812558735908006,768,768.0,True
chronos2,sg_carpark,SG Carpark,headline,test,L6,block_depth,True,6,1416,768,30.105916063479302,0.039200411540988675,0.039200411540988675,3.404721699401452,0.2534874902898054,768,768.0,True
chronos2,sg_carpark,SG Carpark,headline,test,L7,block_depth,True,7,1416,768,25.607038051708997,0.03334249746316276,0.03334249746316276,3.2428672375957506,0.2916985028171292,768,768.0,True
chronos2,sg_carpark,SG Carpark,headline,test,L8,block_depth,True,8,1416,768,28.153429047001,0.036658110738282554,0.036658110738282554,3.337669160559626,0.2819142086129182,768,768.0,True
chronos2,sg_carpark,SG Carpark,headline,test,L9,block_depth,True,9,1416,768,18.215731113934627,0.023718399887935712,0.023718399887935712,2.9022855676695465,0.35374508440570357,768,768.0,True
chronos2,sg_carpark,SG Carpark,headline,test,L10,block_depth,True,10,1416,768,14.18395428936173,0.018468690480939753,0.018468690480939753,2.6521113460764805,0.37496826247988635,768,768.0,True
chronos2,sg_carpark,SG Carpark,headline,test,L11,block_depth,True,11,1416,768,9.318027046676512,0.01213284771702671,0.01213284771702671,2.2319509160171913,0.42631822488465665,768,768.0,True
chronos2,sg_carpark,SG Carpark,headline,test,L12,block_depth,True,12,1416,768,6.219426420815338,0.008098211485436638,0.008098211485436638,1.8276776871959952,0.43668571219249686,768,768.0,True
chronos2,sg_carpark,SG Carpark,headline,test,L12+LN,head_input_diagnostic,False,13,1416,768,4.760054844091906,0.006197988078244669,0.006197988078244669,1.5602591900449998,0.5471677462672816,768,768.0,False
chronos2,sg_carpark,SG Carpark,headline,train,Emb,block_depth,True,0,5576,768,1.0006743686280868,0.001302961417484488,0.001302961417484488,0.0006741413437400113,0.9999377112495059,3,768.0,True
chronos2,sg_carpark,SG Carpark,headline,train,L1,block_depth,True,1,5576,768,8.965598315438159,0.011673956139893436,0.011673956139893436,2.193394843863962,0.32906433651082223,768,768.0,True
chronos2,sg_carpark,SG Carpark,headline,train,L2,block_depth,True,2,5576,768,12.81709965549469,0.016688931843092045,0.016688931843092045,2.5507801899764666,0.2632293369555021,768,768.0,True
chronos2,sg_carpark,SG Carpark,headline,train,L3,block_depth,True,3,5576,768,20.085432940087124,0.026152907474071774,0.026152907474071774,2.9999948229728632,0.20631668504643388,768,768.0,True
chronos2,sg_carpark,SG Carpark,headline,train,L4,block_depth,True,4,5576,768,29.000971995483365,0.03776168228578563,0.03776168228578563,3.3673293465104224,0.17705971348751534,768,768.0,True
chronos2,sg_carpark,SG Carpark,headline,train,L5,block_depth,True,5,5576,768,32.21103004483803,0.04194144537088285,0.04194144537088285,3.4723089418705357,0.20707188370298196,768,768.0,True
chronos2,sg_carpark,SG Carpark,headline,train,L6,block_depth,True,6,5576,768,44.14079071966938,0.057474987916236175,0.057474987916236175,3.7873843145709336,0.18512336850151193,768,768.0,True
chronos2,sg_carpark,SG Carpark,headline,train,L7,block_depth,True,7,5576,768,36.8470001325533,0.04797786475592877,0.04797786475592877,3.60677420779249,0.21979096537627796,768,768.0,True
chronos2,sg_carpark,SG Carpark,headline,train,L8,block_depth,True,8,5576,768,40.10280931581487,0.052217199629967286,0.052217199629967286,3.691446389609588,0.21228440772182997,768,768.0,True
chronos2,sg_carpark,SG Carpark,headline,train,L9,block_depth,True,9,5576,768,27.14046106537572,0.03533914201220797,0.03533914201220797,3.3010256426697806,0.2673839118637231,768,768.0,True
chronos2,sg_carpark,SG Carpark,headline,train,L10,block_depth,True,10,5576,768,20.83200177463604,0.02712500231072401,0.02712500231072401,3.036490351214137,0.31335400526609836,768,768.0,True
chronos2,sg_carpark,SG Carpark,headline,train,L11,block_depth,True,11,5576,768,12.83183663566937,0.01670812061936116,0.01670812061936116,2.551929320032315,0.3812909928242196,768,768.0,True
chronos2,sg_carpark,SG Carpark,headline,train,L12,block_depth,True,12,5576,768,6.942618959469469,0.009039868436809205,0.009039868436809205,1.9376790750134085,0.43652051328939,768,768.0,True
chronos2,sg_carpark,SG Carpark,headline,train,L12+LN,head_input_diagnostic,False,13,5576,768,5.855658752643146,0.007624555667504096,0.007624555667504096,1.7674085018468497,0.5366335750310278,768,768.0,False
